ID,Country,CompTotal,Currency,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DevType,JobSat,RemoteWork,EdLevel,OrgSize,Age,Employment,AISelect
1,United States of America,,,,,,,,Remote,Primary/elementary school,,Under 18 years old,"Employed, full-time",Yes
2,United Kingdom of Great Britain and Northern Ireland,,,17,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time","No, and I don't plan to"
3,United Kingdom of Great Britain and Northern Ireland,,,27,C#,C#,Developer Experience,,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,45-54 years old,"Employed, full-time","No, and I don't plan to"
4,Canada,,,,C;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,"Developer, full-stack",,,Some college/university study without earning a degree,,18-24 years old,"Student, full-time",Yes
5,Norway,,,,C++;HTML/CSS;JavaScript;Lua;Python;Rust,C++;HTML/CSS;JavaScript;Lua;Python,"Developer, full-stack",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time","No, and I don't plan to"
6,United States of America,,,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Rust;Swift;TypeScript,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Swift;TypeScript,Student,,,Primary/elementary school,,Under 18 years old,"Student, full-time",Yes
7,United States of America,,,7,R,R,Academic researcher,,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",,35-44 years old,"Employed, full-time","No, and I don't plan to"
8,Uzbekistan,,,,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,Student,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,18-24 years old,"Student, full-time;Not employed, but looking for work",Yes
9,United Kingdom of Great Britain and Northern Ireland,,,,Lua,Lua,Academic researcher,,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",,45-54 years old,"Employed, full-time","No, and I don't plan to"
10,Serbia,,,11,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,"Developer, full-stack",,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Independent contractor, freelancer, or self-employed",Yes
11,United States of America,,,,JavaScript;Python;Ruby,C#;Crystal;Java;JavaScript;Python;Ruby,Project manager,8,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time",Yes
12,Poland,,,25,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,Developer Advocate,,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",,45-54 years old,"Employed, full-time","No, and I don't plan to"
13,United States of America,,,12,Bash/Shell (all shells);C#;JavaScript;PowerShell;VBA,Bash/Shell (all shells);JavaScript;VBA,"Developer, back-end",8,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time","No, and I don't plan to"
14,Philippines,,,,PHP;Python,Python,Other (please specify):,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Not employed, and not looking for work",Yes
15,Bulgaria,,,10,C;C++,C;C++,,,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time","No, and I don't plan to"
16,Switzerland,,,27,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),C#;SQL,"Developer, full-stack",5,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,,45-54 years old,"Employed, full-time","No, and I don't plan to"
17,Canada,,,,Rust;TypeScript,Rust;TypeScript,Student,,,Primary/elementary school,,Under 18 years old,"Student, full-time",Yes
18,India,,,3,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,"Developer, front-end",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,18-24 years old,"Independent contractor, freelancer, or self-employed","No, but I plan to soon"
19,Germany,,,10,C#;HTML/CSS;JavaScript;PHP;Python;SQL,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack",10,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,,25-34 years old,"Employed, full-time",Yes
20,United Kingdom of Great Britain and Northern Ireland,,,11,PowerShell;SQL,PowerShell;Python;SQL,Database administrator,,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,,35-44 years old,"Employed, full-time","No, and I don't plan to"
21,Germany,,,1,Bash/Shell (all shells);HTML/CSS;PHP;Python;SQL;VBA,C++;Java;JavaScript;PHP;PowerShell;Python;R;SQL,Other (please specify):,6,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,25-34 years old,"Employed, full-time",Yes
22,Germany,,,11,C#;HTML/CSS;Java;PHP;SQL,C#;HTML/CSS;Java;PHP;SQL,"Developer, full-stack",,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,35-44 years old,"Employed, full-time",Yes
23,Ireland,,,18,Bash/Shell (all shells);C#;F#;JavaScript;PowerShell;SQL,Bash/Shell (all shells);C#;F#;Go,"Developer, back-end",9,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,45-54 years old,"Employed, full-time",Yes
24,United States of America,,,37,HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;Python;Rust;SQL,"Developer, desktop or enterprise applications",,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,55-64 years old,"Employed, full-time","No, and I don't plan to"
25,Italy,,,15,Clojure;Java;JavaScript;SQL,Clojure;Julia;SQL,"Developer, full-stack",4,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time;Student, part-time","No, and I don't plan to"
26,United States of America,,,20,C#;HTML/CSS;Java;JavaScript;Python;SQL;VBA;Visual Basic (.Net),TypeScript,"Developer, full-stack",,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",,45-54 years old,"Employed, full-time","No, but I plan to soon"
27,Italy,,,17,C#;HTML/CSS;JavaScript;Python;Scala;SQL,C#;JavaScript;Python;Scala;SQL,"Developer, full-stack",7,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,35-44 years old,"Employed, full-time",Yes
28,Ukraine,,,6,Bash/Shell (all shells);Lua;TypeScript,Bash/Shell (all shells);Lua;Rust;TypeScript;Zig,Cloud infrastructure engineer,7,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes
29,United Kingdom of Great Britain and Northern Ireland,,,12,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,"Developer, full-stack",,Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,25-34 years old,"Independent contractor, freelancer, or self-employed","No, but I plan to soon"
30,Philippines,,,6,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,"Developer, full-stack",,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time",Yes
31,Australia,,,2,Go;HTML/CSS;Java;JavaScript;Perl;Python;TypeScript,Go;HTML/CSS;JavaScript;Julia;PHP;Python;TypeScript,"Developer, back-end",,,Something else,,Prefer not to say,"Student, full-time",Yes
32,United States of America,,,7,Bash/Shell (all shells);Go;HTML/CSS;Python;Scala;SQL,Bash/Shell (all shells);Go;Python;SQL,Other (please specify):,7,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,25-34 years old,"Employed, full-time","No, but I plan to soon"
