ID,Country,Country Standard,CompTotal,Currency,Salary in Rupees,YearsCodePro,LanguageHaveWorkedWith,NoOfSkills,LanguageWantToWorkWith,DevType,DevTypeNorm,RemoteWork ,RemoteWorkNorm ,EdLevel,OrgSize,OrgSizeNorm,Age,AgeNorm,Employment,AISelect,AiSelectNorm
1,Turkey,Turkey,85000,EUR European Euro,7735000,6,JavaScript;Julia;Python;SQL;TypeScript,5,Go;JavaScript;Python;Rust;SQL;TypeScript,Data scientist or machine learning specialist,,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",Yes,1
2,United States of America,USA,110000,USD	United States dollar,9240000,7,HTML/CSS;JavaScript;Python;SQL;TypeScript,5,Go;Rust;Swift,Student,,Remote,2,Some college/university study without earning a degree,10 to 19 employees,15,25-34 years old,25,"Employed, full-time;Student, part-time",Yes,1
3,United Kingdom of Great Britain and Northern Ireland,United Kingdom,126420,GBP	Pound sterling,13400520,18,C#;HTML/CSS;Java;JavaScript;MicroPython;Python;TypeScript,7,HTML/CSS;JavaScript;MicroPython;Python;TypeScript,Engineering manager,,"Hybrid (some remote, some in-person)",1,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","1,000 to 4,999 employees",2500,35-44 years old,35,"Employed, full-time",Yes,1
4,United States of America,USA,195000,USD	United States dollar,16380000,30,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,7,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack",,Remote,2,Some college/university study without earning a degree,"1,000 to 4,999 employees",2500,45-54 years old,45,"Employed, full-time",No,0
5,Greece,Greece,74000,EUR European Euro,6734000,16,Java;JavaScript;Python,3,Java;JavaScript;Python,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",No,0
6,Brazil,Brazil,170000,USD	United States dollar,14280000,17,Bash/Shell (all shells);Elixir;JavaScript;TypeScript,4,Bash/Shell (all shells);Elixir;Rust;Zig,"Developer, back-end",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time;Independent contractor, freelancer, or self-employed",Yes,1
7,Italy,Italy,62000,EUR European Euro,5642000,4,Bash/Shell (all shells);C#;Dart;JavaScript;Python;Rust;TypeScript,7,Bash/Shell (all shells);C;Julia;Rust;TypeScript,"Developer, full-stack",,Remote,2,Some college/university study without earning a degree,100 to 499 employees,300,25-34 years old,25,"Independent contractor, freelancer, or self-employed",Yes,1
8,Germany,Germany,80000,EUR European Euro,7280000,30,Delphi,1,Delphi,"Developer, full-stack",,Remote,2,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,60,55-64 years old,55,"Employed, full-time",No,0
9,United Kingdom of Great Britain and Northern Ireland,United Kingdom,98000,GBP	Pound sterling,10388000,15,HTML/CSS;JavaScript;TypeScript,3,HTML/CSS;JavaScript;TypeScript,"Developer, front-end",,Remote,2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,300,35-44 years old,35,"Employed, full-time",Yes,1
10,United States of America,USA,85000,USD	United States dollar,7140000,23,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PowerShell;SQL,8,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PowerShell;SQL,"Developer, full-stack",,In-person,0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,60,35-44 years old,35,"Employed, full-time",No,0
